name_en,name_nl,name_de,Google Dutch,Dutch Translator,Google German,German Translator
Picker Packer,Inpakker,Picker Packer,Inpakker,Plukker Inpakker,Picker Packer,Picker Packer
Revit Technician,Revit Technician,Revit-Techniker,Revit Technician,Revit Technicus,Revit-Techniker,Revit-Techniker
Software Development Manager,,Software Devlopement Manager,,Software Ontwikkelings Manager,Software Devlopement Manager,Software-Entwicklungsleiter
Compliance Analyst,,Compliance Analyst,,Nalevingsanalist,Compliance Analyst,Compliance-Analyst
Researcher,Onderzoeker,Forscher,Onderzoeker,Onderzoeker,Forscher,Forscher
Independent Financial Adviser,Onafhankelijk financieel adviseur,Unabhängige Finanzberater,Onafhankelijk financieel adviseur,Onafhankelijk Financieel Adviseur,Unabhängige Finanzberater,Unabhängiger Finanzberater
Audit and Accounts Senior,Audit en Accounts Senior,Audit und Konten Senioren,Audit en Accounts Senior,Hoofd Audit en boekhouding,Audit und Konten Senioren,Leiter Audit und Accounts
Commercial Finance Analyst,,Analyst für gewerbliche Finanzierungen,,Commercieel Financieel Analist,Analyst für gewerbliche Finanzierungen,Kaufmännischer Finanzanalyst
MI Analyst,MI Analyst,MI Analyst,MI Analyst,MI Analist,MI Analyst,MI-Analyst
Assistant Project Manager,Assistent Project Manager,Assistant Project Manager,Assistent Project Manager,Assistent Project Manager,Assistant Project Manager,Assistent der Projektleitung
Panel Beater,panel Beater,Autoschlosser,panel Beater,Paneelklopper,Autoschlosser,Autoschlosser
Business Support Officer,Business Support Officer,Business Support Officer,Business Support Officer,Bedrijfsondersteunend medewerker,Business Support Officer,Business-Support-Beauftragter
Electrical Estimator,,Kalkulator Elektrotechnik,,Elektrische schatter,Kalkulator Elektrotechnik,Elektrokalkulator
Hardware Engineer,Hardware engineer,Hardware Ingenieur,Hardware engineer,Hardware Ingenieur,Hardware Ingenieur,Hardware-Ingenieur
Research Analyst,Onderzoeksanalyst,Research Analyst,Onderzoeksanalyst,Onderzoeksanalist,Research Analyst,Forschungsanalyst
Conveyancer,soort notaris,Conveyancer,soort notaris,Conveyancer,Conveyancer,Notar
Dental Nurse,,Zahnarzthelfer,,Tandheelkundige verpleegkundige,Zahnarzthelfer,Zahnarzthelfer
Driver,,Fahrer,,Bestuurder,Fahrer,Fahrer
Real Estate Solicitor,Real Estate Solicitor,Immobilien Solicitor,Real Estate Solicitor,Vastgoed Solicitor,Immobilien Solicitor,Immobilien-Anwalt
Early Years Teacher,Early Years Teacher,Vorschullehrer,Early Years Teacher,Vroeg Jaren Docent,Vorschullehrer,Vorschullehrer
Department Manager,,Abteilungsleiter,,Afdelingsmanager,Abteilungsleiter,Abteilungsleiter
Collections Advisor,collecties Advisor,Collections Advisor,collecties Advisor,Incasso-adviseur,Collections Advisor,Inkassoberater
UI Developer,UI Developer,UI Entwickler,UI Developer,UI Ontwikkelaar,UI Entwickler,UI-Entwickler
Platform Sales,platform Sales,Platform Sales,platform Sales,Perron Verkoop,Platform Sales,Plattform-Verkäufer
Clinical Project Manager,Clinical Project Manager,Clinical Project Manager,Clinical Project Manager,Klinisch projectleider,Clinical Project Manager,Klinischer Projektleiter
Social Media Manager,,Social Media Manager,,Manager sociale media,Social Media Manager,Social Media Manager
SEO Manager,,SEO Manager,,SEO Beheerder,SEO Manager,SEO Manager
Van Driver,van Driver,Van-Fahrer,van Driver,Bestuurder bestelwagen,Van-Fahrer,Van-Fahrer
Secretary,#VALUE!,Sekretär,#VALUE!,Secretaris,Sekretär,Sekretär
Employed Financial Advisor,Employed Financieel Adviseur,Angestellter Finanzberater,Employed Financieel Adviseur,Financieel Adviseur in loondienst,Angestellter Finanzberater,Angestellter Finanzberater
Laboratory Technician,,Labortechniker,,Laboratoriumtechnicus,Labortechniker,Labortechniker
Product Specialist,product Specialist,Produkt Spezialist,product Specialist,Productspecialist,Produkt Spezialist,Produktspezialist
CRM Manager,CRM Manager,CRM-Manager,CRM Manager,CRM-manager,CRM-Manager,CRM-Manager
Data Manager,,Datenmanager,,Gegevensbeheerder,Datenmanager,Datenmanager
Performance Analyst,,Leistungsanalytiker,,Prestatie-analist,Leistungsanalytiker,Performance-Analyst
IT Sales Account Manager,IT Sales Account Manager,IT Sales Account Manager,IT Sales Account Manager,IT Verkoopaccount Manager,IT Sales Account Manager,IT Sales Account Manager
Ruby Developer,,Ruby Entwickler,,Ruby Ontwikkelaar,Ruby Entwickler,Ruby-Entwickler
Security Service Engineer,Security Service Engineer,Security Service-Ingenieur,Security Service Engineer,Veiligheidsservice ingenieur,Security Service-Ingenieur,Sicherheitsservice-Ingenieur
Assisted Living Care Assistant,Assisted Living Care Assistant,Betreutes Wohnen Pflegeassistenten,Assisted Living Care Assistant,Assistent woonzorg assistent,Betreutes Wohnen Pflegeassistenten,Assistent im betreuten Wohnen
Tax Accountant,,Steuerberater,,Belastingaccountant,Steuerberater,Steuerberater
Guest Server,Guest Server,Guest Server,Guest Server,Gast Server,Guest Server,Guest Server
HNW Mortgage Broker,HNW Mortgage Broker,HNW Immobilienkreditvermittler-,HNW Mortgage Broker,HNW Hypotheek Makelaar,HNW Immobilienkreditvermittler-,HNW Mortgage Broker
Civil Engineering Technician,,Tiefbautechniker,,Burgerlijk Ingenieur Technicus,Tiefbautechniker,Bautechniker
Construction Manager,,Bauleiter,,Bouwmanager,Bauleiter,Bauleiter
Stock Controller,,Lagercontroller,,Voorraadcontroleur,Lagercontroller,Lager-Controller
System Administrator,Systeem administrator,Systemadministrator,Systeem administrator,Systeembeheerder,Systemadministrator,Systemadministrator
Oracle Developer,Oracle Developer,Oracle Developer,Oracle Developer,Oracle Ontwikkelaar,Oracle Developer,Oracle-Entwickler
Sustainability Consultant,duurzaamheid Consultant,Nachhaltigkeitsberater,duurzaamheid Consultant,Adviseur duurzaamheid,Nachhaltigkeitsberater,Nachhaltigkeitsberater
Communications Officer,Communications Officer,Communications Officer,Communications Officer,Communicatiemedewerker,Communications Officer,Kommunikationsbeauftragter
Purchasing Assistant,Purchasing Assistant,Einkaufsassistent,Purchasing Assistant,Inkoopassistent,Einkaufsassistent,Einkaufsassistent
Infrastructure Project Manager,Infrastructure Project Manager,Infrastructure Project Manager,Infrastructure Project Manager,Infrastructuur projectmanager,Infrastructure Project Manager,Infrastruktur-Projektmanager
Demand Planner,demand Planner,Demand Planner,demand Planner,Vraag Planner,Demand Planner,Bedarfsplaner
Handyman,Klusjesman,Heimwerker,Klusjesman,Klusjesman,Heimwerker,Handwerker
Investment Writer,Investment Writer,Investment Writer,Investment Writer,Schrijver investeringen,Investment Writer,Investment-Autor
Sales Ledger Clerk,Sales Ledger Clerk,Sales Ledger Clerk,Sales Ledger Clerk,Medewerker Verkoopgrootboek,Sales Ledger Clerk,Mitarbeiter Verkaufsjournal
Installation Engineer,,Installationsingenieur,,Installatie ingenieur,Installationsingenieur,Installationsingenieur
Emerging Market FX Sales,Emerging Market FX Sales,Emerging Markets FX Sales,Emerging Market FX Sales,FX-verkoop opkomende markten,Emerging Markets FX Sales,Emerging Markets FX-Vertrieb
Physiotherapist,Fysiotherapeut,Physiotherapeut,Fysiotherapeut,Fysiotherapeut,Physiotherapeut,Physiotherapeut
HGV Driver,,Fahrer für Schwerlasttransporter,,Vrachtwagenchauffeur,Fahrer für Schwerlasttransporter,Schwerlastwagenfahrer
Supply Teacher,,Hilfslehrer,,Levering Leraar,Hilfslehrer,Vertretungslehrer
Account Handler,Account beheerder,Account Handler,Account beheerder,Accountbeheerder,Account Handler,Kundenberater
Analyst/Associate,Analist / Associate,Mitarbeiter Analyst,Analist / Associate,Analist/Associate,Mitarbeiter Analyst,Analytiker/Mitarbeiter
Bike Rider,Fietser,Radfahrer,Fietser,Fietser,Radfahrer,Radfahrer
Premier Pathways,Premier Pathways,Premier Pathways,Premier Pathways,Eerste paden,Premier Pathways,Premier Pathways
Assembly Operative,Assembly Operative,Montagearbeiter,Assembly Operative,Assemblage medewerker,Montagearbeiter,Montagemitarbeiter
Marketing Analyst,,Marktanalyst,,Marketinganalist,Marktanalyst,Marketing-Analyst
Property Litigation Solicitor,Property Litigation Solicitor,Property Litigation Solicitor,Property Litigation Solicitor,Vastgoedgeschillen advocaat,Property Litigation Solicitor,Anwalt für Immobilienrecht
Ruby on Rails Developer,Ruby on Rails Developer,Ruby on Rails Entwickler,Ruby on Rails Developer,Ruby on Rails Ontwikkelaar,Ruby on Rails Entwickler,Ruby on Rails-Entwickler
Compliance Assistant,Compliance Assistant,Compliance-Assistent,Compliance Assistant,Naleving Assistent,Compliance-Assistent,Compliance-Assistent
PPC Executive,PPC Executive,PPC Vorstand,PPC Executive,PPC Uitvoerder,PPC Vorstand,PPC-Führungskraft
Planning Officer,,Planungsbeauftragter,,Planning functionaris,Planungsbeauftragter,Planungsbeauftragter
Fire Alarm Engineer,,Servicetechniker für Brandmeldeanlagen,,Ingenieur brandalarm,Servicetechniker für Brandmeldeanlagen,Ingenieur Brandmeldeanlagen
Legal Entity Controller,Rechtspersoon Controller,Legal Entity-Controller,Rechtspersoon Controller,Juridisch entiteitscontroleur,Legal Entity-Controller,Legal Entity Controller
Counter Balance FLT Driver,Counter Balance FLT Driver,Counter Balance FLT-Treiber,Counter Balance FLT Driver,Teller Balans FLT Chauffeur,Counter Balance FLT-Treiber,Counter Balance-Gabelstaplerfahrer
Remote Data Operator,Remote Data Operator,Remote Data Operator,Remote Data Operator,Externe gegevensbeheerder,Remote Data Operator,Remote Data Operator
Artworker,Kunstwerker,Künstler,Kunstwerker,Kunstarbeiders,Künstler,Künstler
Clinical Negligence Solicitor,Clinical Nalatigheid Solicitor,Klinische Negligence Solicitor,Clinical Nalatigheid Solicitor,Klinische Nalatigheid Advocaat,Klinische Negligence Solicitor,Fachanwalt für klinische Fahrlässigkeit
Toolmaker,Toolmaker,Werkzeugmeßmikroskope,Toolmaker,Gereedschapmaker,Werkzeugmeßmikroskope,Werkzeugmacher
PR Account Manager,PR Account Manager,PR Account Manager,PR Account Manager,PR Accountmanager,PR Account Manager,PR-Kundenbetreuer
Regulatory Affairs Manager,,Manager für regulatorische Angelegenheiten,,Regelgevende Zaken Manager,Manager für regulatorische Angelegenheiten,Regulatory-Affairs-Manager
Commercial Solicitor,commerciële Solicitor,Commercial Solicitor,commerciële Solicitor,Commercieel Advocaat,Commercial Solicitor,Anwalt für Handelsrecht
Continuous Improvement Manager,Continuous Improvement Manager,Continuous Improvement-Manager,Continuous Improvement Manager,Continue verbeteringsmanager,Continuous Improvement-Manager,Manager für kontinuierliche Verbesserung
Meter Reader,meter Reader,Ableser,meter Reader,Meter Lezer,Ableser,Zählerableser
Governance Analyst,Governance Analyst,Governance Analyst,Governance Analyst,Bestuursanalist,Governance Analyst,Governance Analyst
Procurement Officer,Procurement Officer,Procurement Officer,Procurement Officer,Aanbestedingsmedewerker,Procurement Officer,Beschaffungsbeauftragter
Mechanical Project Engineer,,Projektingenieur Mechanik,,Mechanisch projectingenieur,Projektingenieur Mechanik,Mechanischer Projektingenieur
Transport Administrator,transport Administrator,Transport Administrator,transport Administrator,Transport Administrateur,Transport Administrator,Transport-Administrator
Derivatives Trader,derivaten Trader,Derivate Trader,derivaten Trader,Derivatenhandelaar,Derivate Trader,Derivate-Händler
Technical Administrator,technisch Beheerder,Technischer Administrator,technisch Beheerder,Technisch Administrateur,Technischer Administrator,Technischer Administrator
Penetration Tester,,Penetration Tester,,Penetratie-tester,Penetration Tester,Penetrationstester
Facilities Assistant,faciliteiten Assistant,Einrichtungsassistent,faciliteiten Assistant,Facilitair Assistent,Einrichtungsassistent,Anlagenassistent
Sales Specialist,verkoop specialist,Verkaufsspezialist,verkoop specialist,Verkoopspecialist,Verkaufsspezialist,Vertriebsspezialist
Purchasing Administrator,Purchasing Administrator,Einkaufsadministrator,Purchasing Administrator,Inkoopadministrateur,Einkaufsadministrator,Einkaufsadministrator
Pricing Analyst,pricing Analyst,Pricing Analyst,pricing Analyst,Prijs Analist,Pricing Analyst,Pricing-Analyst
Group Accountant,,Gruppenbilanzbuchhalter,,Groepsboekhouder,Gruppenbilanzbuchhalter,Konzernbuchhalter
Marketing Coordinator,marketing Coordinator,Verkaufskoordinator,marketing Coordinator,Marketing coördinator,Verkaufskoordinator,Marketing-Koordinator
Surveyor,,Landvermesser,,Landmeter,Landvermesser,Sachverständiger
Litigation Solicitor,Litigation Solicitor,Litigation Solicitor,Litigation Solicitor,Solicitor procesvoering,Litigation Solicitor,Anwalt für Rechtsstreitigkeiten
Registered Mental Health Nurse,,Krankenschwester für Psychiatrie,,Geregistreerd Verpleegkundige Geestelijke Gezondheid,Krankenschwester für Psychiatrie,Ausgebildeter Fachkrankenpfleger für Psychiatrie
Wealth Management,Vermogensbeheer,Vermögensverwaltung,Vermogensbeheer,Vermogensbeheer,Vermögensverwaltung,Vermögensverwaltung
Planning Manager,,Planungsmanager,,Planning Manager,Planungsmanager,Planungsleiter
Product Developer,Productontwikkelaar,Produkt Entwickler,Productontwikkelaar,Productontwikkelaar,Produkt Entwickler,Produktentwickler
Database Developer,,Datenbankentwickler,,Database Ontwikkelaar,Datenbankentwickler,Datenbank-Entwickler
Client Services Manager,Client Services Manager,Client Services Manager,Client Services Manager,Klantendienst Manager,Client Services Manager,Manager für Kundenbetreuung
Technical Services Manager,Technical Services Manager,Technischer Service Manager,Technical Services Manager,Manager Technische Diensten,Technischer Service Manager,Technischer Serviceleiter
Merchandise Assistant,Merchandise Assistant,Merchandise-Assistent,Merchandise Assistant,Assistent merchandise,Merchandise-Assistent,Merchandise-Assistent
IFA Administrator,IFA Administrator,IFA Administrator,IFA Administrator,IFA-beheerder,IFA Administrator,Administrator für unabhängige Finanzverwalter
Currency Portfolio Manager,Valuta Portfolio Manager,Currency Portfolio Manager,Valuta Portfolio Manager,Valuta Portefeuille Manager,Currency Portfolio Manager,Währungsportfolio-Manager
Swim Instructor,Swim Instructor,Schwimmlehrer,Swim Instructor,Zweminstructeur,Schwimmlehrer,Schwimmlehrer
Data Administrator,data Administrator,Data Administrator,data Administrator,Gegevensbeheerder,Data Administrator,Datenverwalter
Security Assistant,Beveiligingsassistent,Security Assistant,Beveiligingsassistent,Assistent Beveiliging,Security Assistant,Sicherheitsassistent
IT Trainer,,IT Trainer,,IT Opleider,IT Trainer,IT-Trainer
Waiter/Waitress,Ober serveerster,Kellner/in,Ober serveerster,Kelner/Serveerster,Kellner/in,Kellner
Trainer,Trainer,Trainer,Trainer,Trainer,Trainer,Ausbilder
Fund Controller,Fund Controller,Fonds-Controller,Fund Controller,Fonds Controleur,Fonds-Controller,Fonds-Controller
Corporate Tax Manager,Corporate Tax Manager,Corporate Tax Manager,Corporate Tax Manager,Bedrijfsbelasting manager,Corporate Tax Manager,Manager Körperschaftssteuern
Implementation Consultant,,Implementierungsberater,,Implementatie Adviseur,Implementierungsberater,Implementierungsberater
Electrical Technician,Electricien,Elektrotechniker,Electricien,Elektrische Technicus,Elektrotechniker,Elektrotechniker
Engineering Geologist,Techniek Geoloog,Geoingenieur,Techniek Geoloog,Technisch geoloog,Geoingenieur,Ingenieur für Geologie
Tax Senior,tax Senior,Senior Steuerberater,tax Senior,Fiscaal hoofd,Senior Steuerberater,Senior-Steuerberater
Conveyancing Paralegal,Conveyancing legaal,Conveyancing Paralegal,Conveyancing legaal,Conveyancing paralegal,Conveyancing Paralegal,Rechtsanwaltsfachangestellter im Bereich Eigentumsübertragungen
Warehouse Administrator,Warehouse Administrator,Warehouse Administrator,Warehouse Administrator,Magazijn Administrateur,Warehouse Administrator,Lagerverwalter
Agile Business Analyst,Agile Business Analyst,Agile Business Analyst,Agile Business Analyst,Agile Bedrijfsanalist,Agile Business Analyst,Agiler Business-Analyst
Store Trainer,Store Trainer,Store Trainer,Store Trainer,Winkelopleider,Store Trainer,Filialtrainer
Project Support Officer,Project Support Officer,Projekt Support Officer,Project Support Officer,Project ondersteunings officier,Projekt Support Officer,Projekt-Support-Beauftragter
Legal Administrator,Legal Administrator,Legal Administrator,Legal Administrator,Juridisch administrateur,Legal Administrator,Juristischer Administrator
Digital Business Analyst,Digital Business Analyst,Digital Business Analyst,Digital Business Analyst,Digitaal bedrijfsanalist,Digital Business Analyst,Digital Business Analyst
Research Executive,Research Executive,Forschungsvorstand,Research Executive,Onderzoeks Uitvoerder,Forschungsvorstand,Forschungsleiter
Biology Teacher,Leraar van de biologie,Biologielehrer,Leraar van de biologie,Leraar biologie,Biologielehrer,Biologielehrer
Management Consultant,management Consultant,Unternehmensberater,management Consultant,Management Adviseur,Unternehmensberater,Management-Berater
Product Development Manager,productontwikkelaarsmanager,Produkt Entwicklungsmanager,productontwikkelaarsmanager,Product Ontwikkelings Manager,Produkt Entwicklungsmanager,Produktentwicklungsmanager
Test Technician,,Test Techniker,,Test Technicus,Test Techniker,Test-Techniker
Commercial Catering Engineer,Commercial Catering Engineer,Commercial Catering Ingenieur,Commercial Catering Engineer,Commercieel Catering Ingenieur,Commercial Catering Ingenieur,Kaufmännischer Catering-Ingenieur
Legal Assistant,Legale assistent,Rechtsanwaltsgehilfe,Legale assistent,Juridisch assistent,Rechtsanwaltsgehilfe,Rechtsanwaltsfachangestellter
Beauty Advisor,Schoonheidsadviseur,Schönheitsberater,Schoonheidsadviseur,Schoonheidsadviseur,Schönheitsberater,Schönheitsberater
Beauty Therapist,Schoonheidsspecialist,Kosmetikerin,Schoonheidsspecialist,Schoonheidsspecialiste,Kosmetikerin,Kosmetiker
Commercial Accountant,Commercial Accountant,Commercial Accountant,Commercial Accountant,Commercieel Boekhouder,Commercial Accountant,Kaufmännischer Buchhalter
Group Financial Controller,Group Financial Controller,Group Financial Controller,Group Financial Controller,Groep financieel controleur,Group Financial Controller,Konzern-Finanzcontroller
Lawyer,,Rechtsanwalt,,Advocaat,Rechtsanwalt,Jurist
QA Tester,QA Tester,QA Tester,QA Tester,QA Testers,QA Tester,QS-Prüfer
Infrastructure Analyst,,Analyst für Infrastruktur,,Infrastructuur Analist,Analyst für Infrastruktur,Infrastruktur-Analyst
Telehandler,verreiker,Teleskoplader,verreiker,Telehandler,Teleskoplader,Teleskoplader
Product Designer,,Produktdesigner,,Product Ontwerper,Produktdesigner,Produktdesigner
Delivery Manager,,Leiter der Auslieferung,,Afleveringsmanager,Leiter der Auslieferung,Delivery Manager
Conference Producer,Conference Producer,Conference Producer,Conference Producer,Conferentie Producent,Conference Producer,Conference Producer
Personal Stylist,Persoonlijke stylist,Persönlicher Stylist,Persoonlijke stylist,Persoonlijke Stylist,Persönlicher Stylist,Persönlicher Stylist
HR Coordinator,HR-coördinator,HR-Koordinator,HR-coördinator,HR Coördinator,HR-Koordinator,HR-Koordinator
Bridge Engineer,,Brückeningenieur,,Brug Ingenieur,Brückeningenieur,Brückenbau-Ingenieur
Marketing Officer,marketing Officer,Marketingleiter,marketing Officer,Marketingmedewerker,Marketingleiter,Marketingbeauftragter
Social Media Executive,,Führungskraft für soziale Medien,,Sociale Media Uitvoerder,Führungskraft für soziale Medien,Leiter soziale Medien
Shop Manager,Winkelmanager,Filialleiter,Winkelmanager,Winkelmanager,Filialleiter,Verkaufsstellenleiter
Financial Services Administrator,Financial Services Administrator,Financial Services Administrator,Financial Services Administrator,Financieel Diensten Beheerder,Financial Services Administrator,Finanzdienstleistungs-Administrator
Electrical Project Manager,Elektrische Project Manager,Elektrischer Projekt-Manager,Elektrische Project Manager,Elektro Projectleider,Elektrischer Projekt-Manager,Elektro-Projektmanager
Primary Care Specialist,Primary Care Specialist,Primary Care Specialist,Primary Care Specialist,Primaire Zorg Specialist,Primary Care Specialist,Spezialist für Primärversorgung
ICT Teacher,,ICT Lehrer,,ICT-leraar,ICT Lehrer,IKT-Lehrer
Product Design Engineer,Product Design Engineer,Ingenieur Produktdesign,Product Design Engineer,Product-ontwerpingenieur,Ingenieur Produktdesign,Ingenieur Produktdesign
Nursery Manager,Nursery Manager,Pflegedienstleitung,Nursery Manager,Kwekerij Manager,Pflegedienstleitung,Kindertagesstättenleiter
Engineer Surveyor,,Technischer Sachverständiger,,Ingenieur-Taxateur,Technischer Sachverständiger,Technischer Sachverständiger
Engineering Team Leader,Techniek Teamleider,Engineering Team Leader,Techniek Teamleider,Technisch Teamleider,Engineering Team Leader,Technischer Teamleiter
PPC Manager,,E-Commerce Manager,,PPC-manager,E-Commerce Manager,PPC-Manager
Digital Analyst,,Digital Analyst,,Digitaal analist,Digital Analyst,Digital Analyst
Business Studies Teacher,,Betriebswirtschaftslehrer,,Leraar bedrijfswetenschappen,Betriebswirtschaftslehrer,Betriebswirtschaftslehrer
Internal Communications Manager,Internal Communications Manager,Internal Communications Manager,Internal Communications Manager,Interne Communicatiemanager,Internal Communications Manager,Interner Kommunikationsmanager
Dispensing Optician,Opticien,Dispensing Optician,Opticien,Apotheekhoudende Opticien,Dispensing Optician,Augenoptiker
Mortgage Administrator,Mortgage Administrator,Hypotheken Administrator ,Mortgage Administrator,Hypotheek Administrateur,Hypotheken Administrator,Hypotheken-Verwalter
Workshop Engineer,workshop Engineer,Workshop-Ingenieur,workshop Engineer,Werkplaats ingenieur,Workshop-Ingenieur,Werkstatt-Ingenieur
Team Leader Care,Teamleider Zorg,Teamleiter Pflege,Teamleider Zorg,Teamleider Zorg,Teamleiter Pflege,Teamleiter Pflege
Spa Therapist,Spa Therapeut,Wellness-Therapeut,Spa Therapeut,Kuurtherapeut,Wellness-Therapeut,Spa-Therapeut
White Goods Engineer,Witgoed Engineer,White Goods Engineer,Witgoed Engineer,Witgoed Ingenieur,White Goods Engineer,Weißwaren-Ingenieur
Technical Coordinator,,Technischer Koordinator,,Technisch Coördinator,Technischer Koordinator,Technischer Koordinator
Construction Solicitor,bouw Solicitor,Construction Solicitor,bouw Solicitor,Bouw advocaat,Construction Solicitor,Fachanwalt Bereich Bau
Cook,,Koch,,Kok,Koch,Koch
Caretaker,huisbewaarder,Hausmeister,huisbewaarder,Huismeester,Hausmeister,Hausmeister
Global Fund Services Manager,Global Fund Services Manager,Global Fund Services Manager,Global Fund Services Manager,Wereldwijde fondsdiensten Manager,Global Fund Services Manager,Global Fund Services Manager
M&E Quantity Surveyor,M & E Landmeter,M&E Quantity Surveyor,M & E Landmeter,M&E kwantiteitscontroleur,M&E Quantity Surveyor,M&E Kosten- und Abrechnungsingenieur
Statistician,,Statistiker,,Statisticus,Statistiker,Statistiker
Technical Account Manager,Technisch Account Manager,Technical Account Manager,Technisch Account Manager,Technisch Accountmanager,Technical Account Manager,Technischer Kundenbetreuer
Property Administrator,Property Administrator,Property Administrator,Property Administrator,Vastgoed Administrateur,Property Administrator,Immobilienverwalter
Biostatistician,,Biostatistiker,,Biostatisticus,Biostatistiker,Biostatistiker
Structural Technician,,Statiker,,Bouwkundig Technicus,Statiker,Statiker
Nursery Practitioner,Nursery Practitioner,Pflegeexperte APN,Nursery Practitioner,Kwekerij beoefenaar,Pflegeexperte APN,Nursery Practitioner
Stores Person,winkels persoon,Store Person,winkels persoon,Winkelmedewerker,Store Person,Filialmitarbeiter
PMO Manager,PMO Manager,PMO-Manager,PMO Manager,PMO Manager,PMO-Manager,PMO-Manager
Credit Sales Desk,Credit Sales Desk,Credit Sales Desk,Credit Sales Desk,Krediet Verkoopdesk,Credit Sales Desk,Credit Sales Desk
Commercial Property Paralegal,Commercieel Vastgoed legaal,Rechtsanwaltfachangestellter für Gewerbeimmobilien,Commercieel Vastgoed legaal,Commercieel Eigendom Paralegal,Rechtsanwaltfachangestellter für Gewerbeimmobilien,Rechtsanwaltfachangestellter für Gewerbeimmobilien
Assistant Shop Manager,Assistent Winkel Manager,Assistant Shop Manager,Assistent Winkel Manager,Assistent Winkel Manager,Assistant Shop Manager,Assistent der Verkaufsstellenleitung
Complaint Handler,klacht Handler,Beschwerdemanager,klacht Handler,Klachtenbehandelaar,Beschwerdemanager,Beschwerdemanager
Mobile Developer,Mobile Developer,Mobile Developer,Mobile Developer,Mobiel Ontwikkelaar,Mobile Developer,Mobile-Entwickler
Electrical Supervisor,,Supervisor Elektrotechnik,,Elektro Toezichthouder,Supervisor Elektrotechnik,Supervisor Elektro
Executive,uitvoerend,Executive,uitvoerend,Uitvoerend,Executive,Leitender Angestellter
Practice Manager,practice Manager,Praxis-Manager,practice Manager,Praktijkmanager,Praxis-Manager,Praxisleiter
Plasterer,Stukadoor,Stuckateur,Stukadoor,Stukadoor,Stuckateur,Stuckateur
Corporate Tax Senior,Vennootschapsbelasting Senior,Corporate Tax Senioren,Vennootschapsbelasting Senior,Bedrijfsbelasting Hoofd,Corporate Tax Senioren,Leiter Körperschaftssteuern
PPA Teacher,PPA Teacher,PPA-Lehrer,PPA Teacher,PPA Leraar,PPA-Lehrer,Lehrer für musische Fächer
Technical Specialist,technische specialist,Technischer Spezialist,technische specialist,Technisch Specialist,Technischer Spezialist,Technischer Spezialist
Visual Designer,,Visual Designer,,Visueel Ontwerper,Visual Designer,Visueller Gestalter
Lettings Manager,Lettings Manager,Vermietung-Manager,Lettings Manager,Verhuur Manager,Vermietung-Manager,Vermietungsmanager
Clinical Lead,klinische Lead,Klinisches Blei,klinische Lead,Klinisch Leider,Klinisches Blei,Klinische Leitung
Client Administrator,client Administrator,Client Administrator,client Administrator,Klant Beheerder,Client Administrator,Kunden-Administrator
Planning Engineer,planning Engineer,Planungsingenieur,planning Engineer,Planningstechnicus,Planungsingenieur,Planungsingenieur
Acoustic Consultant,Akoestisch Consultant,akustische Berater,Akoestisch Consultant,Akoestisch Adviseur,akustische Berater,Akustik-Berater
Sitecore Developer,,Sitecore Entwickler,,Sitecore Ontwikkelaar,Sitecore Entwickler,Sitecore-Entwickler
Financial Reporting Manager,Financial Reporting Manager,Financial Reporting-Manager,Financial Reporting Manager,Financieel rapporteringsmanager,Financial Reporting-Manager,Manager Financial Reporting
MFL Teacher,MFL Teacher,MFL Lehrer,MFL Teacher,Docent MFL,MFL Lehrer,Lehrer für neuere Fremdsprachen
Head of IT,Hoofd IT,Leiter IT,Hoofd IT,Hoofd IT,Leiter IT,IT-Leiter
Buying Assistant,Buying Assistant,Kauf-Assistent,Buying Assistant,Inkoop Assistent,Kauf-Assistent,Einkaufsassistent
Humanities Teacher,,Lehrer für Geisteswissenschaften,,Docent geesteswetenschappen,Lehrer für Geisteswissenschaften,Lehrer für Geisteswissenschaften
Product Controller,product Controller,Produkt-Controller,product Controller,Productcontroleur,Produkt-Controller,Produkt-Controller
Oracle DBA,Oracle DBA,Oracle DBA,Oracle DBA,Oracle DBA,Oracle DBA,Oracle-DBA
Payroller,payroller,Payroller,payroller,Salarisadministrateur,Payroller,Lohnbuchhalter
Credit Risk Manager,Credit Risk Manager,Credit Risk Manager,Credit Risk Manager,Krediet Risico Manager,Credit Risk Manager,Kreditrisiko-Manager
IT Infrastructure Engineer,IT Infrastructure Engineer,IT-Infrastruktur-Ingenieur,IT Infrastructure Engineer,IT-Infrastructuur Ingenieur,IT-Infrastruktur-Ingenieur,IT-Infrastrukturingenieur
FP&A Analyst,FP & A Analyst,FP&A Analyst,FP & A Analyst,FP&A-analist,FP&A Analyst,FP&A-Analyst
Firmware Engineer,,Firmware Engineer,,Firmware ingenieur,Firmware Engineer,Firmware-Ingenieur
Conveyancing Solicitor,Conveyancing Solicitor,Conveyancing Solicitor,Conveyancing Solicitor,Conveyancing advocaat,Conveyancing Solicitor,Fachanwalt für Eigentumsübertragungen
Qualified Hair Stylist,,,,Gekwalificeerde haarstylist,,Ausgebildeter Frisör
Linux Engineer,,Linux Engineer,,Linux-Ingenieur,Linux Engineer,Linux-Ingenieur
Data Warehouse Developer,,Data Warehouse Entwickler,,Datawarehouse Ontwikkelaar,Data Warehouse Entwickler,Data Warehouse-Entwickler
Procurement Specialist,,Spezialist Beschaffungsmanagement,,Inkoopspecialist,Spezialist Beschaffungsmanagement,Beschaffungsspezialist
